Magnetic Field Strength (10X), ChA, Run #15
Time (s)	Magnetic Field Strength (10X) (T)
0.0000	0.0020996735
0.1000	0.0021045564
0.2000	0.0021045564
0.3000	0.0021045564
0.4000	0.0021045564
0.5000	0.0020996735
0.6000	0.0021094394
0.7000	0.0021045564
0.8000	0.0020996735
0.9000	0.0021045564
1.0000	0.0021045564
1.1000	0.0020996735
1.2000	0.0021094394
1.3000	0.0020996735
1.4000	0.0021094394
1.5000	0.0021094394
1.6000	0.0020996735
1.7000	0.0021094394
1.8000	0.0020996735
1.9000	0.0020996735
2.0000	0.0021094394
2.1000	0.0021045564
2.2000	0.0021045564
2.3000	0.0021094394
2.4000	0.0020996735
2.5000	0.0021094394
2.6000	0.0020996735
2.7000	0.0020996735
2.8000	0.0020996735
2.9000	0.0020996735
3.0000	0.0020996735
3.1000	0.0021094394
3.2000	0.0021094394
3.3000	0.0021045564
3.4000	0.0020996735
3.5000	0.0020996735
3.6000	0.0021094394
3.7000	0.0021094394
3.8000	0.0021094394
3.9000	0.0021094394
4.0000	0.0020996735
4.1000	0.0020996735
4.2000	0.0020947905
4.3000	0.0020996735
4.4000	0.0020996735
4.5000	0.0020996735
4.6000	0.0020996735
4.7000	0.0020996735
4.8000	0.0020996735
4.9000	0.0020996735
5.0000	0.0021045564
5.1000	0.0021045564
5.2000	0.0021045564
5.3000	0.0020996735
5.4000	0.0021045564
5.5000	0.0020996735
5.6000	0.0021045564
5.7000	0.0020996735
5.8000	0.0021094394
5.9000	0.0021094394
6.0000	0.0020996735
6.1000	0.0020996735
6.2000	0.0020996735
6.3000	0.0020996735
6.4000	0.0020996735
6.5000	0.0020996735
6.6000	0.0020996735
6.7000	0.0021045564
6.8000	0.0020996735
6.9000	0.0020996735
7.0000	0.0020947905
7.1000	0.0020947905
7.2000	0.0020996735
7.3000	0.0020996735
7.4000	0.0020996735
7.5000	0.0021045564
7.6000	0.0020996735
7.7000	0.0020996735
7.8000	0.0020947905
7.9000	0.0020947905
8.0000	0.0020996735
8.1000	0.0020996735
8.2000	0.0021094394
8.3000	0.0020996735
8.4000	0.0020996735
8.5000	0.0020996735
8.6000	0.0020996735
8.7000	0.0020996735
8.8000	0.0020947905
8.9000	0.0020996735
9.0000	0.0020996735
9.1000	0.0020996735
9.2000	0.0020947905
9.3000	0.0020996735
9.4000	0.0021094394
9.5000	0.0020996735
9.6000	0.0020996735
9.7000	0.0020996735
9.8000	0.0020996735
9.9000	0.0020996735
10.0000	0.0020996735
