Magnetic Field Strength (10X), ChA, Run #11
Time (s)	Magnetic Field Strength (10X) (T)
0.0000	0.0012402722
0.1000	0.0012500381
0.2000	0.0012500381
0.3000	0.0012500381
0.4000	0.0012500381
0.5000	0.0012500381
0.6000	0.0012500381
0.7000	0.0012500381
0.8000	0.0012500381
0.9000	0.0012500381
1.0000	0.0012500381
1.1000	0.0012500381
1.2000	0.0012500381
1.3000	0.0012500381
1.4000	0.0012500381
1.5000	0.0012500381
1.6000	0.0012500381
1.7000	0.0012500381
1.8000	0.0012500381
1.9000	0.0012500381
2.0000	0.0012500381
2.1000	0.0012500381
2.2000	0.0012500381
2.3000	0.0012500381
2.4000	0.0012500381
2.5000	0.0012500381
2.6000	0.0012500381
2.7000	0.0012500381
2.8000	0.0012500381
2.9000	0.0012500381
3.0000	0.0012500381
3.1000	0.0012500381
3.2000	0.0012500381
3.3000	0.0012500381
3.4000	0.0012500381
3.5000	0.0012500381
3.6000	0.0012500381
3.7000	0.0012500381
3.8000	0.0012451552
3.9000	0.0012500381
4.0000	0.0012500381
4.1000	0.0012500381
4.2000	0.0012451552
4.3000	0.0012402722
4.4000	0.0012500381
4.5000	0.0012500381
4.6000	0.0012451552
4.7000	0.0012500381
4.8000	0.0012500381
4.9000	0.0012500381
5.0000	0.0012500381
5.1000	0.0012500381
5.2000	0.0012500381
5.3000	0.0012451552
5.4000	0.0012500381
5.5000	0.0012500381
5.6000	0.0012500381
5.7000	0.0012500381
5.8000	0.0012500381
5.9000	0.0012500381
6.0000	0.0012500381
6.1000	0.0012451552
6.2000	0.0012500381
6.3000	0.0012500381
6.4000	0.0012500381
6.5000	0.0012500381
6.6000	0.0012500381
6.7000	0.0012402722
6.8000	0.0012402722
6.9000	0.0012500381
7.0000	0.0012402722
7.1000	0.0012402722
7.2000	0.0012402722
7.3000	0.0012402722
7.4000	0.0012500381
7.5000	0.0012500381
7.6000	0.0012500381
7.7000	0.0012500381
7.8000	0.0012402722
7.9000	0.0012402722
8.0000	0.0012451552
8.1000	0.0012451552
8.2000	0.0012500381
8.3000	0.0012451552
8.4000	0.0012500381
8.5000	0.0012500381
8.6000	0.0012500381
8.7000	0.0012500381
8.8000	0.0012500381
8.9000	0.0012500381
9.0000	0.0012402722
9.1000	0.0012451552
9.2000	0.0012500381
9.3000	0.0012402722
9.4000	0.0012500381
9.5000	0.0012500381
9.6000	0.0012500381
9.7000	0.0012500381
9.8000	0.0012500381
9.9000	0.0012500381
10.0000	0.0012500381
